iter	Passed	Remaining
0	49	49500
1	50	25046
2	50	16888
3	51	12802
4	52	10357
5	52	8715
6	53	7559
7	53	6675
8	54	6000
9	55	5455
10	55	5006
11	56	4631
12	56	4315
13	57	4051
14	58	3818
15	58	3611
16	59	3430
17	59	3271
18	60	3127
19	61	2998
20	61	2885
21	62	2781
22	63	2683
23	63	2592
24	64	2511
25	65	2438
26	65	2368
27	66	2304
28	67	2246
29	67	2190
30	68	2140
31	69	2090
32	69	2044
33	70	2001
34	71	1958
35	71	1922
36	72	1884
37	73	1849
38	73	1814
39	74	1779
40	74	1746
41	75	1714
42	75	1683
43	76	1656
44	76	1628
45	77	1601
46	77	1574
47	78	1548
48	78	1523
49	78	1499
50	79	1477
51	79	1455
52	80	1434
53	80	1413
54	81	1393
55	81	1374
56	81	1356
57	82	1338
58	82	1321
59	83	1304
60	83	1288
61	84	1273
62	84	1259
63	85	1245
64	85	1231
65	86	1217
66	86	1203
67	86	1187
68	87	1175
69	87	1162
70	87	1150
71	88	1139
72	88	1127
73	89	1117
74	89	1107
75	90	1098
76	90	1088
77	91	1078
78	91	1068
79	92	1058
80	92	1049
81	92	1039
82	93	1030
83	93	1021
84	93	1011
85	94	1003
86	94	994
87	95	986
88	95	978
89	96	971
90	96	964
91	96	957
92	97	950
93	97	943
94	98	936
95	98	929
96	99	922
97	99	916
98	100	910
99	100	904
100	100	898
101	101	891
102	101	885
103	102	879
104	102	874
105	103	868
106	103	864
107	103	858
108	104	853
109	104	847
110	105	842
111	105	837
112	106	832
113	106	827
114	106	822
115	107	817
116	107	812
117	108	808
118	108	803
119	109	799
120	109	795
121	109	791
122	110	785
123	110	781
124	111	777
125	111	773
126	111	769
127	112	764
128	112	760
129	113	757
130	113	753
131	114	749
132	114	746
133	115	743
134	115	740
135	116	737
136	116	734
137	117	730
138	117	728
139	118	725
140	118	723
141	119	720
142	119	718
143	120	715
144	120	712
145	121	709
146	121	706
147	122	703
148	122	700
149	123	697
150	123	694
151	124	691
152	124	689
153	124	686
154	125	683
155	125	680
156	126	677
157	126	674
158	126	671
159	127	668
160	127	666
161	128	663
162	128	660
163	129	658
164	129	655
165	130	653
166	130	651
167	130	648
168	131	645
169	131	643
170	132	641
171	132	638
172	133	637
173	133	634
174	134	632
175	134	630
176	135	628
177	135	625
178	135	623
179	136	621
180	136	618
181	137	616
182	137	613
183	137	611
184	138	609
185	138	607
186	139	606
187	139	604
188	140	602
189	140	599
190	141	598
191	141	596
192	142	593
193	142	592
194	142	589
195	143	588
196	143	586
197	144	584
198	144	582
199	145	580
200	145	578
201	145	576
202	146	574
203	146	572
204	147	570
205	147	568
206	148	567
207	148	565
208	148	563
209	149	562
210	149	560
211	150	558
212	150	556
213	151	555
214	151	553
215	152	551
216	152	550
217	152	548
218	153	547
219	153	545
220	154	543
221	154	541
222	155	540
223	155	538
224	155	537
225	156	535
226	156	533
