iter	RMSE
0	14.4327472
1	14.03565195
2	13.65014615
3	13.2931844
4	12.93349121
5	12.60491074
6	12.29460911
7	11.99800195
8	11.7037208
9	11.45203245
10	11.17946697
11	10.92573692
12	10.68252163
13	10.45183184
14	10.22930322
15	10.01286419
16	9.829433718
17	9.62795443
18	9.421287646
19	9.220615128
20	9.033697902
21	8.86120324
22	8.707125746
23	8.535225408
24	8.373428764
25	8.236137157
26	8.095079075
27	7.972017785
28	7.845574604
29	7.725917844
30	7.600880241
31	7.489554305
32	7.388068312
33	7.282094926
34	7.18915258
35	7.098674671
36	7.003722748
37	6.916363416
38	6.838997142
39	6.764222279
40	6.702482876
41	6.636262998
42	6.564115204
43	6.486173486
44	6.418775591
45	6.351974751
46	6.288727561
47	6.229138685
48	6.158671733
49	6.105121061
50	6.055651868
51	6.001899121
52	5.954148448
53	5.911155887
54	5.867579935
55	5.816676904
56	5.776197085
57	5.733534554
58	5.679215466
59	5.63750127
60	5.601392569
61	5.559710449
62	5.521853521
63	5.484356645
64	5.448038988
65	5.40638918
66	5.372523118
67	5.338774164
68	5.30540488
69	5.268743667
70	5.240092412
71	5.202528197
72	5.16993235
73	5.134410937
74	5.101371458
75	5.072136492
76	5.045019377
77	5.012238385
78	4.99245376
79	4.9675992
80	4.940952909
81	4.912289114
82	4.892000561
83	4.867391235
84	4.843719159
85	4.826274065
86	4.803549755
87	4.7832821
88	4.75156601
89	4.723920686
90	4.706436983
91	4.68474799
92	4.651577705
93	4.626008174
94	4.606995591
95	4.581942736
96	4.560320963
97	4.542448018
98	4.519118147
99	4.502133575
100	4.478253735
101	4.463372552
102	4.439003052
103	4.418886031
104	4.394392399
105	4.38458063
106	4.37171553
107	4.357070979
108	4.337651048
109	4.332356648
110	4.312240444
111	4.300716361
112	4.27689475
113	4.261981903
114	4.242763815
115	4.22894909
116	4.228224889
117	4.213680725
118	4.195165799
119	4.169827858
120	4.153717541
121	4.138022987
122	4.119595985
123	4.099444452
124	4.084284226
125	4.066646893
126	4.051168552
127	4.037476152
128	4.022424959
129	4.006519164
130	3.992052468
131	3.97393944
132	3.958765308
133	3.944461949
134	3.928032885
135	3.907669326
136	3.898505652
137	3.886209794
138	3.87341002
139	3.859691498
140	3.842970951
141	3.82554538
142	3.803142342
143	3.789997474
144	3.773823303
145	3.758846259
146	3.74326776
147	3.726600736
148	3.710914986
149	3.700255362
150	3.692011561
151	3.67346269
152	3.655482298
153	3.641830532
154	3.628718073
155	3.616632126
156	3.599801694
157	3.590059171
158	3.57587071
159	3.57038677
160	3.557102254
161	3.537123683
162	3.528917724
163	3.514452771
164	3.503146775
165	3.492867007
166	3.473789624
167	3.457499318
168	3.445536672
169	3.432301474
170	3.418304676
171	3.411883261
172	3.406467593
173	3.399934267
174	3.394779142
175	3.38072691
176	3.370972412
177	3.363343627
178	3.349091451
179	3.335892341
180	3.325491149
181	3.320295391
182	3.309736332
183	3.297197841
184	3.285818777
185	3.272589515
186	3.262126185
187	3.241438859
188	3.228043738
189	3.218107835
190	3.211415671
191	3.195502558
192	3.181409428
193	3.17249521
194	3.159003133
195	3.142907582
196	3.133012286
197	3.122289615
198	3.109421963
199	3.099492312
200	3.094683029
201	3.085646927
202	3.073634048
203	3.06255721
204	3.050519239
205	3.039647249
206	3.029499634
207	3.022112202
208	3.010035005
209	2.998028066
210	2.987386587
211	2.980550658
212	2.970873832
213	2.961577126
214	2.945324975
215	2.924845669
216	2.912058696
217	2.903203244
218	2.891775215
219	2.881781951
220	2.873887096
221	2.865195359
222	2.850599597
223	2.833634861
224	2.828134689
225	2.820716603
226	2.806965402
227	2.801647804
228	2.784308156
229	2.771798652
230	2.763717024
231	2.756581271
232	2.748168129
233	2.743033824
234	2.730234338
235	2.722352917
236	2.718766511
237	2.701677162
238	2.6882975
239	2.68068417
240	2.672717198
241	2.658017889
242	2.641562783
243	2.638291094
244	2.629354037
245	2.625727786
246	2.62048608
247	2.612653309
248	2.60437606
249	2.596119065
250	2.588585809
251	2.575974793
252	2.560694816
253	2.555485074
254	2.550357231
255	2.539470459
256	2.526153004
257	2.512436474
258	2.504750269
259	2.498295601
260	2.485754751
261	2.472310817
262	2.465349331
263	2.461693511
264	2.457774229
265	2.446401133
266	2.434540982
267	2.419935922
268	2.40563943
269	2.396909548
270	2.392203377
271	2.388447228
272	2.383847377
273	2.373934129
274	2.366457424
275	2.353984149
276	2.341238346
277	2.334595897
278	2.323125294
279	2.311789434
280	2.297659801
281	2.288820876
282	2.283332237
283	2.277209386
284	2.273603665
285	2.268163283
286	2.264697942
287	2.252520182
288	2.241594593
289	2.231174063
290	2.225062506
291	2.222182757
292	2.217768838
293	2.206180953
294	2.1949934
295	2.184126052
296	2.180409642
297	2.175638281
298	2.169793154
299	2.162290036
300	2.159801581
301	2.149595103
302	2.146452373
303	2.139822364
304	2.136284914
305	2.126309796
306	2.1141101
307	2.102694153
308	2.090999762
309	2.083496846
310	2.078603425
311	2.069434416
312	2.063220878
313	2.059134892
