iter	Passed	Remaining
0	55	55796
1	56	28283
2	57	19079
3	58	14498
4	59	11802
5	60	9964
6	61	8670
7	61	7674
8	62	6893
9	63	6272
10	64	5769
11	64	5343
12	65	4987
13	66	4677
14	67	4415
15	68	4182
16	68	3970
17	69	3779
18	69	3610
19	70	3455
20	71	3319
21	71	3194
22	72	3082
23	73	2988
24	74	2896
25	74	2808
26	75	2727
27	76	2653
28	77	2583
29	77	2517
30	78	2454
31	79	2395
32	80	2345
33	80	2296
34	81	2244
35	82	2197
36	82	2153
37	83	2111
38	84	2073
39	84	2035
40	85	2002
41	86	1969
42	87	1936
43	87	1904
44	88	1875
45	89	1848
46	90	1825
47	90	1802
48	91	1782
49	92	1761
50	93	1739
51	94	1716
52	94	1694
53	95	1673
54	96	1651
55	96	1631
56	97	1611
57	98	1595
58	98	1578
59	99	1561
60	100	1544
61	100	1527
62	101	1512
63	102	1497
64	103	1481
65	103	1468
66	104	1455
67	105	1442
68	105	1429
69	106	1416
70	107	1402
71	107	1390
72	108	1378
73	109	1367
74	110	1356
75	110	1348
76	111	1338
77	112	1328
78	113	1318
79	113	1307
80	114	1297
81	114	1287
82	115	1278
83	116	1270
84	117	1263
85	118	1254
86	118	1246
87	119	1238
88	120	1230
89	120	1220
90	121	1213
91	122	1205
92	122	1198
93	123	1193
94	124	1186
95	125	1178
96	125	1170
97	126	1163
98	127	1156
99	127	1149
100	128	1142
101	128	1135
102	129	1129
103	130	1123
104	131	1117
105	131	1110
106	132	1105
107	133	1099
108	133	1092
109	134	1084
110	134	1078
111	135	1072
112	136	1068
113	136	1063
114	137	1058
115	138	1053
116	138	1044
117	139	1040
118	139	1035
119	140	1030
120	141	1026
121	141	1021
122	142	1017
123	143	1013
124	144	1008
125	144	1004
126	145	1000
127	146	995
128	146	991
129	147	986
130	148	981
131	148	978
132	149	975
133	150	971
134	150	967
135	151	963
136	152	960
137	153	956
138	153	952
139	154	949
140	155	946
141	156	943
142	156	939
143	157	936
144	158	932
145	158	928
146	159	925
147	160	921
148	160	919
149	161	916
150	162	913
151	163	910
152	163	907
153	164	904
154	165	902
155	166	900
156	167	898
157	168	895
158	168	893
159	169	889
160	170	887
161	170	883
162	171	881
163	172	878
164	172	875
165	173	872
166	174	870
167	175	868
168	176	866
169	176	863
170	177	861
171	178	859
172	179	856
173	179	854
174	180	852
175	181	851
176	182	848
177	183	846
178	184	844
179	184	842
180	185	840
181	186	838
182	187	837
183	188	837
184	189	834
185	190	832
186	190	829
187	191	827
188	192	824
189	192	822
190	193	820
191	194	818
192	195	816
193	195	813
194	196	810
195	196	808
196	197	805
197	198	803
198	198	800
199	199	799
200	200	797
201	201	794
202	201	792
203	202	790
204	203	788
205	204	786
206	204	784
207	205	781
208	206	779
209	206	778
210	207	775
211	208	773
212	208	771
213	209	769
214	210	767
215	210	765
216	211	763
217	212	761
218	213	759
219	213	758
220	214	756
221	215	754
222	216	752
223	216	751
224	217	749
225	218	747
226	218	745
227	219	743
228	220	742
229	221	740
230	221	738
231	222	736
232	222	733
233	223	731
234	224	730
235	224	728
236	225	726
237	226	724
238	227	723
239	227	721
240	228	719
241	229	717
242	229	715
243	230	713
244	231	711
245	231	710
246	232	709
247	233	707
248	233	705
249	234	703
250	235	701
251	235	700
252	236	698
253	237	696
254	237	694
255	238	693
256	239	691
257	239	690
258	240	688
259	241	686
260	241	684
261	242	683
262	243	681
263	243	679
264	244	678
265	245	676
266	245	675
267	246	673
268	247	672
269	248	670
270	248	669
271	249	667
272	250	666
273	250	664
274	251	663
275	252	661
276	252	660
277	253	658
278	254	657
279	255	655
280	255	654
281	256	653
282	257	652
283	258	651
284	259	649
285	259	648
286	260	647
287	261	646
288	262	645
289	262	643
290	263	642
291	264	641
292	265	640
293	266	639
294	267	638
295	267	636
296	268	635
297	269	633
